## lsp

Go to definition |  gD
Showing floating type info | K
Go to implementation | gi
Signature help | <C-k>
Type definition | <leader>D
Rename symbol | <leader>rn
References | gr
(Range) Code Action | <leader>ca
Diagnostics | <leader>d
Symbols outline | <leader>os
Find symbols | <leader>of

### Format

Format code | <leader>f

### Navigation

Open file explorer | <leader>n

### Comment
Comment line, linewise | gcc
Comment line, block wise | gbc

### External commands

Pipe results of commands into buffer | :new | r ! <cmd>
